Type-Well- Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67)
B-A1-blank,52,74,61,45,51,58,139
B-A2-blank,60,79,68,55,61,74,135
C1-B1-Universal,34,1071,58,6287,40,103,193
C1-B2-Universal,32,1150,64,6112,35,99,247
C2-C1-Pool,480,270,543,6021,3979,2651,1165
C2-C2-Pool,633,317,659,7500,4886,3273,1459
X1-D1-T588,229,87,173,139,113,354,516
X1-D2-T588,253,99,183,162,107,374,530
X2-E1-T697,306,100,430,287,184,805,891
X2-E2-T697,341,119,532,332,207,951,1028
X3-F1-T598,386,119,314,266,164,838,740
X3-F2-T598,396,119,332,274,158,883,800
X4-G1-T591,471,109,305,298,221,814,938
X4-G2-T591,474,111,314,318,219,848,988
X5-H1-T921,781,87,90,255,192,565,634
X5-H2-T921,894,103,100,273,227,631,776
X6-A3-T997,785,106,185,522,219,1143,1009
X6-A4-T997,1014,132,239,647,278,1519,1278
X7-B3-T630,506,142,118,318,84,777,960
X7-B4-T630,502,145,136,325,108,763,976
X8-C3-T680,306,145,174,362,387,868,1538
X8-C4-T680,284,154,168,381,377,864,1584
X9-D3-T562,87,157,129,121,58,186,574
X9-D4-T562,79,190,149,133,56,190,646
X10-E3-T707,223,144,283,215,109,613,823
X10-E4-T707,2116,97,415,245,186,1116,750
 X11-F3-T717,1104,191,1558,837,248,2793,1833
 X11-F4-T717,1005,183,1415,858,238,2631,1720
X12-G3-T587,276,118,425,172,89,614,644
X12-G4-T587,287,114,398,182,84,582,614
X13-H3-LH359,2311,173,893,1146,174,2385,1084
X13-H4-LH359,2100,178,810,1123,158,2248,1056
X14-A5-T639,720,121,590,664,299,1112,1106
X14-A6-T639,749,120,532,638,290,1111,1149
X15-B5-T577,282,160,241,264,150,599,653
X15-B6-T577,267,166,275,277,152,615,727
X16-C5-T545,343,119,162,98,75,192,519
X16-C6-T545,360,207,205,103,79,204,804
X17-D5-T628,1093,188,426,411,151,1160,1054
X17-D6-T628,1092,216,450,397,142,1160,1138
X18-E5-LH158,48,158,132,39,62,54,495
X18-E6-LH158,3837,213,728,598,289,1700,1320
X19-F5-LH349,43,196,108,108,2356,90,1219
X19-F6-LH349,46,228,113,118,2256,86,1254
X20-G5-T9266,832,183,490,314,141,630,923
X20-G6-T9266,785,163,468,316,137,635,870
X21-H5-LH263,46,208,105,128,62,54,955
X21-H6-LH263,47,226,121,136,61,50,987
X22-A7-LH321,1392,218,1234,1975,564,2537,2519
X22-A8-LH321,1685,229,1470,2170,630,3009,3108
X23-B7-LH240,3524,271,1640,1448,390,2852,3042
X23-B8-LH240,3694,264,1658,1476,419,3078,3210
X24-C7-LH264,1366,175,188,221,167,383,1101
X24-C8-LH264,1334,156,167,210,146,358,978
X25-D7-LH278,1436,223,346,406,447,465,1384
X25-D8-LH278,1475,205,323,404,478,463,1380
X26-E7-LH309,3779,273,169,565,739,472,3373
X26-E8-LH309,3899,296,193,579,725,476,3705
X27-F7-T924,1428,209,384,301,270,808,1060
X27-F8-T924,1486,189,375,312,277,778,1008
X28-G7-T1013,1042,252,191,183,109,187,1127
X28-G8-T1013,988,196,182,172,113,169,958
X29-H7-LH265,515,248,280,342,136,469,1521
X29-H8-LH265,505,236,284,348,158,475,1562
X30-A9-T9086,76,94,83,107,63,83,450
X30-A10-T9086,70,84,77,95,60,74,460
X31-B9-T1080,1213,165,507,738,230,1423,1117
X31-B10-T1080,1238,151,532,783,232,1498,1070
X32-C9-T960,216,240,107,269,1700,151,1943
X32-C10-T960,235,235,107,280,1772,160,1958
X33-D9-LH22b,134,158,97,128,1285,84,1870
X33-D10-LH22b,150,148,91,128,1238,79,1685
X34-E9-T2003,4687,2615,25127,26898,1441,27620,9727
X34-E10-T2003,5852,3387,26424,28019,1793,28832,12783
X35-F9-T2002,5259,719,4479,7662,402,10948,4976
X35-F10-T2002,5401,850,4714,8189,425,11810,5286
X36-G9-T2001,2189,2116,24451,27925,790,26872,8118
X37-H9-T2000,24082,4105,711,24881,2866,16411,16641
X37-H10-T2000,24912,5063,856,26724,3387,18853,19951
X38-A11-D2-(P23),123,61,60,45,53,54,211
X38-A12-D2-(P23),96,50,48,33,46,46,145
X39-B11-A3-(P25),77,89,77,46,54,58,286
X39-B12-A3-(P25),67,68,63,40,50,51,208
X40-C11-E2 (P22),1254,99,160,89,83,183,595
X40-C12-E2 (P22),1102,77,149,86,75,164,532
X41-D11-D1-(P21),143,146,84,362,51,48,565
X41-D12-D1-(P21),142,130,71,319,51,55,461
X42-E11-A3-(P24),512,103,70,148,4040,159,1117
X42-E12-A3-(P24),496,88,78,153,4027,162,1039
X43-F11-(P11),505,125,86,120,336,66,1298
X43-F12-(P11),512,111,90,127,338,82,1138
X44-G11-D1-P7,129,108,121,53,66,82,322
X44-G12-D1-P7,131,98,120,49,71,86,311
X45-H11-B2-P7,1373,119,254,269,99,731,548
X45-H12-B2-P7,1340,107,228,257,104,719,497
X45-H12-B2-P7,1340,107,228,257,104,719,497
